"","np","nRateCat","lnLik","AIC","dAIC","AICwt"
"1",5,1,-146.446734240024,302.893468480048,28.1103862686031,1.49977200095192e-07
"2",5,1,-146.523205351289,303.046410702577,28.2633284911325,1.389358300075e-07
"3",4,1,-146.530097630196,301.060195260392,26.2771130489471,3.75072707185796e-07
"4",3,1,-146.747273944184,299.494547888368,24.7114656769234,8.2052434335509e-07
"5",5,1,-146.523205694699,303.046411389397,28.2633291779527,1.3893578229554e-07
"6",4,1,-146.920228020326,301.840456040652,27.0573738292068,2.53912445001561e-07
"7",3,1,-147.68362667737,301.367253354741,26.5841711432959,3.21690803238803e-07
"8",2,1,-148.513890564669,301.027781129338,26.2446989178937,3.8120106231151e-07
"9",18,2,-130.943839050105,297.88767810021,23.1045958887652,1.83239379016108e-06
"10",17,2,-130.912380207441,295.824760414881,21.0416782034365,5.14014884273803e-06
"11",15,2,-131.097955294081,292.195910588162,17.4128283767175,3.15478976143716e-05
"12",14,2,-131.087058115523,290.174116231045,15.3910340196006,8.66956863410469e-05
"13",13,2,-131.265901315354,288.531802630708,13.7487204192633,0.000197070380994431
"14",11,2,-131.717307332343,285.434614664686,10.6515324532414,0.000927186666821681
"15",10,2,-131.715662754605,283.43132550921,8.64824329776474,0.00252450299738065
"16",8,2,-131.301202892565,278.602405785131,3.81932357368612,0.0282333547816993
"17",7,2,-131.301229813134,276.602459626268,1.81937741482352,0.0767441492355796
"18",6,2,-132.3404987919,276.680997583801,1.89791537235624,0.0737888896361112
"19",7,2,-131.301192812848,276.602385625696,1.81930341425095,0.0767469888436048
"20",6,2,-131.98865275835,275.9773055167,1.19422330525521,0.104904898051145
"21",5,2,-132.391541105722,274.783082211445,0,0.190597878308827
"22",6,2,-131.59245942396,275.184918847921,0.401836636476048,0.155905108180438
"23",14,2,-131.070595351494,290.141190702988,15.3581084915433,8.81347499484588e-05
"24",13,2,-130.573377630103,287.146755260206,12.3636730487616,0.000393895093667119
"25",12,2,-131.305489017184,286.610978034368,11.8278958229233,0.000514900267739555
"26",9,2,-131.305377430493,280.610754860986,5.82767264954146,0.0103432024387833
"27",8,2,-131.736813196652,279.473626393305,4.69054418185976,0.0182633034125929
"28",7,2,-132.655922813083,279.311845626166,4.52876341472125,0.0198020239496247
"29",6,2,-132.66022209167,277.320444183339,2.5373619718946,0.0535965592847563
"30",5,2,-133.233605278835,276.467210557669,1.68412834622455,0.0821134384021362
"31",5,2,-132.995522301418,275.991044602836,1.20796239139099,0.104186718941387
